Species	Status	min_age	max_age
Abies	extant	0.0	0.012
Abies	extant	0.012	0.126
Abies	extant	0.012	0.126
Abies	extant	0.012	0.126
Abies	extant	0.012	2.588
Abies	extant	0.012	0.3
Abies	extant	0.012	0.3
Abies	extant	0.012	0.126
Abies	extant	0.012	0.126
Abies	extant	0.012	0.126
Abies	extant	0.01346	0.01346
Abies	extant	0.0231	0.0335
Abies	extant	0.126	0.781
Abies	extant	0.126	0.781
Abies	extant	0.781	2.588
Abies	extant	0.781	2.588
Abies	extant	0.781	2.588
Abies	extant	0.781	2.588
Abies	extant	10.3	13.6
Abies	extant	10.3	13.6
Abies	extant	10.3	13.6
Abies	extant	11.62	13.65
Abies	extant	11.62	13.65
Abies	extant	11.62	13.65
Abies	extant	11.62	13.65
Abies	extant	11.62	13.65
Abies	extant	11.62	15.97
Abies	extant	11.62	13.65
Abies	extant	11.62	13.65
Abies	extant	11.62	13.65
Abies	extant	11.62	13.65
Abies	extant	11.62	13.65
Abies	extant	11.62	13.65
Abies	extant	11.62	13.65
Abies	extant	11.62	13.65
Abies	extant	11.62	13.65
Abies	extant	11.62	13.65
Abies	extant	11.62	13.65
Abies	extant	11.62	13.65
Abies	extant	11.62	13.65
Abies	extant	11.62	15.97
Abies	extant	11.62	15.97
Abies	extant	11.62	15.97
Abies	extant	11.62	15.97
Abies	extant	11.62	15.97
Abies	extant	11.62	15.97
Abies	extant	11.62	15.97
Abies	extant	11.62	15.97
Abies	extant	11.62	15.97
Abies	extant	13.6	15.97
Abies	extant	13.6	15.97
Abies	extant	13.6	15.97
Abies	extant	15.97	20.43
Abies	extant	15.97	20.43
Abies	extant	15.97	20.43
Abies	extant	15.97	20.43
Abies	extant	15.97	20.43
Abies	extant	15.97	20.43
Abies	extant	2.588	5.332
Abies	extant	2.588	3.6
Abies	extant	2.588	3.6
Abies	extant	2.588	23.03
Abies	extant	2.588	5.332
Abies	extant	2.588	5.332
Abies	extant	23.03	23.03
Abies	extant	23.03	23.03
Abies	extant	23.03	23.03
Abies	extant	23.03	28.4
Abies	extant	23.03	28.4
Abies	extant	23.03	28.4
Abies	extant	23.03	28.4
Abies	extant	23.03	28.4
Abies	extant	235.0	242.0
Abies	extant	28.4	33.9
Abies	extant	28.4	33.9
Abies	extant	3.6	7.246
Abies	extant	33.9	37.2
Abies	extant	28.4	33.9
Abies	extant	28.4	33.9
Abies	extant	48.6	56.0
Abies	extant	48.6	56.0
Abies	extant	5.332	11.62
Abies	extant	5.332	23.03
Abies	extant	5.332	23.03
Abies	extant	5.332	23.03
Abies	extant	5.332	23.03
Abies	extant	5.332	11.62
Abies	extant	5.332	33.9
Abies	extant	5.332	11.62
Abies	extant	5.332	23.03
Abies	extant	5.332	23.03
Abies	extant	5.332	23.03
Abies	extant	5.332	23.03
Abies	extant	5.332	23.03
Abies	extant	5.332	23.03
Abies	extant	66.0	70.6
Abietites	extinct	109.0	112.6
Abietites	extinct	161.2	167.7
Abietites	extinct	161.2	167.7
Abietites	extinct	175.6	201.6
Abietites	extinct	100.5	112.6
Abietites	extinct	100.5	112.6
Abietites	extinct	100.5	112.6
Abietites	extinct	100.5	112.6
Abietites	extinct	100.5	112.6
Abietites	extinct	100.5	112.6
Abietites	extinct	100.5	112.6
Acmopyle	extant	28.4	33.9
Acmopyle	extant	33.9	48.6
Acmopyle	extant	33.9	48.6
Acmopyle	extant	33.9	48.6
Acmopyle	extant	33.9	48.6
Acmopyle	extant	48.6	56.0
Acmopyle	extant	48.6	56.0
Acmopyle	extant	48.6	56.0
Acmopyle	extant	48.6	56.0
Acmopyle	extant	48.6	56.0
Acmopyle	extant	48.6	56.0
Acmopyle	extant	48.6	56.0
Acmopyle	extant	48.6	56.0
Acmopyle	extant	48.6	56.0
Acmopyle	extant	5.332	56.0
Acmopyle	extant	56.0	58.7
Acmopyle	extant	56.0	100.5
Agathis	extant	0.012	2.588
Agathis	extant	0.025	0.06
Agathis	extant	0.025	0.06
Agathis	extant	0.025	0.06
Agathis	extant	0.03978	0.03978
Agathis	extant	0.03978	0.03978
Agathis	extant	0.03978	0.03978
Agathis	extant	0.03978	0.03978
Agathis	extant	0.03978	0.03978
Agathis	extant	0.06	0.075
Agathis	extant	0.075	0.085
Agathis	extant	0.085	0.12
Agathis	extant	0.12	0.13
Agathis	extant	0.13	0.19
Agathis	extant	0.19	0.22
Agathis	extant	0.19	0.22
Agathis	extant	0.22	0.23
Agathis	extant	145.0	161.2
Agathis	extant	15.97	33.9
Agathis	extant	15.97	33.9
Agathis	extant	15.97	33.9
Agathis	extant	15.97	33.9
Agathis	extant	15.97	33.9
Agathis	extant	15.97	33.9
Agathis	extant	15.97	28.4
Agathis	extant	15.97	28.4
Agathis	extant	15.97	28.4
Agathis	extant	22.3	22.3
Agathis	extant	23.03	48.6
Agathis	extant	28.4	33.9
Agathis	extant	28.4	33.9
Agathis	extant	28.4	33.9
Agathis	extant	28.4	33.9
Agathis	extant	28.4	33.9
Agathis	extant	28.4	33.9
Agathis	extant	28.4	33.9
Agathis	extant	28.4	33.9
Agathis	extant	28.4	33.9
Agathis	extant	28.4	33.9
Agathis	extant	33.9	48.6
Agathis	extant	33.9	100.5
Agathis	extant	33.9	100.5
Agathis	extant	47.46	47.46
Agathis	extant	48.6	56.0
Agathis	extant	48.6	56.0
Agathis	extant	48.6	56.0
Agathis	extant	48.6	56.0
Agathis	extant	56.0	58.7
Agathoxylon	extinct	125.45	136.4
Agathoxylon	extinct	145.0	150.8
Agathoxylon	extinct	164.7	167.7
Agathoxylon	extinct	48.6	56.0
Agathoxylon	extinct	94.3	100.5
Agathoxylon	extinct	94.3	100.5
Agathoxylon	extinct	94.3	100.5
Agathoxylon	extinct	100.5	145.0
Araucaria	extant	0.012	2.588
Araucaria	extant	0.025	0.06
Araucaria	extant	0.025	0.06
Araucaria	extant	0.025	0.06
Araucaria	extant	0.03978	0.03978
Araucaria	extant	0.03978	0.03978
Araucaria	extant	0.03978	0.03978
Araucaria	extant	0.03978	0.03978
Araucaria	extant	0.03978	0.03978
Araucaria	extant	0.03978	0.03978
Araucaria	extant	0.06	0.075
Araucaria	extant	0.075	0.085
Araucaria	extant	0.085	0.12
Araucaria	extant	0.12	0.13
Araucaria	extant	0.13	0.19
Araucaria	extant	0.19	0.22
Araucaria	extant	0.19	0.22
Araucaria	extant	0.22	0.23
Araucaria	extant	11.62	15.97
Araucaria	extant	136.4	145.0
Araucaria	extant	136.4	140.2
Araucaria	extant	136.4	145.0
Araucaria	extant	136.4	145.0
Araucaria	extant	136.4	145.0
Araucaria	extant	145.0	175.6
Araucaria	extant	145.0	161.2
Araucaria	extant	145.0	161.2
Araucaria	extant	145.0	161.2
Araucaria	extant	145.0	161.2
Araucaria	extant	145.0	155.7
Araucaria	extant	145.0	155.7
Araucaria	extant	15.97	33.9
Araucaria	extant	15.97	33.9
Araucaria	extant	15.97	33.9
Araucaria	extant	15.97	33.9
Araucaria	extant	15.97	33.9
Araucaria	extant	15.97	23.03
Araucaria	extant	15.97	33.9
Araucaria	extant	15.97	33.9
Araucaria	extant	15.97	33.9
Araucaria	extant	150.8	155.7
Araucaria	extant	155.7	161.2
Araucaria	extant	161.2	175.6
Araucaria	extant	21.8	23.6
Araucaria	extant	21.8	23.6
Araucaria	extant	21.8	23.6
Araucaria	extant	23.03	28.4
Araucaria	extant	28.4	33.9
Araucaria	extant	28.4	33.9
Araucaria	extant	33.9	48.6
Araucaria	extant	33.9	48.6
Araucaria	extant	33.9	48.6
Araucaria	extant	33.9	100.5
Araucaria	extant	33.9	100.5
Araucaria	extant	37.2	48.6
Araucaria	extant	48.6	56.0
Araucaria	extant	48.6	56.0
Araucaria	extant	48.6	56.0
Araucaria	extant	48.6	56.0
Araucaria	extant	48.6	56.0
Araucaria	extant	5.332	33.9
Araucaria	extant	5.332	56.0
Araucaria	extant	5.332	23.03
Araucaria	extant	5.332	23.03
Araucaria	extant	5.332	28.4
Araucaria	extant	52.22	52.22
Araucaria	extant	52.22	52.22
Araucaria	extant	52.22	52.22
Araucaria	extant	52.22	52.22
Araucaria	extant	52.22	52.22
Araucaria	extant	52.22	52.22
Araucaria	extant	52.22	52.22
Araucaria	extant	52.22	52.22
Araucaria	extant	52.22	52.22
Araucaria	extant	52.22	52.22
Araucaria	extant	52.22	52.22
Araucaria	extant	52.22	52.22
Araucaria	extant	56.0	66.0
Araucaria	extant	56.0	66.0
Araucaria	extant	56.0	66.0
Araucaria	extant	56.0	66.0
Araucaria	extant	66.0	89.3
Araucaria	extant	66.0	70.6
Araucaria	extant	89.3	112.6
Araucaria	extant	89.3	112.6
Araucaria	extant	89.3	112.6
Araucaria	extant	89.3	112.6
Araucaria	extant	100.5	125.45
Araucaria	extant	100.5	125.45
Araucaria	extant	100.5	161.2
Araucaria	extant	100.5	161.2
Araucaria	extant	100.5	112.6
Araucaria	extant	100.5	112.6
