"Age"	"Angiosperms"
0	0.86
1	0.86
2	0.87
3	0.88
4	0.90
5	0.91
6	0.91
7	0.92
8	0.92
9	0.93
10	0.93
11	0.93
12	0.93
13	0.93
14	0.93
15	0.93
16	0.93
17	0.93
18	0.93
19	0.93
20	0.93
21	0.92
22	0.91
23	0.91
24	0.91
25	0.92
26	0.92
27	0.92
28	0.93
29	0.94
30	0.94
31	0.95
32	0.95
33	0.96
34	0.96
35	0.97
36	0.98
37	0.99
38	0.99
39	0.99
40	1.00
41	1.00
42	1.00
43	1.00
44	1.00
45	0.99
46	0.99
47	0.99
48	0.98
49	0.98
50	0.97
51	0.95
52	0.94
54	0.93
55	0.91
56	0.91
57	0.89
58	0.85
59	0.79
60	0.73
61	0.66
62	0.62
63	0.58
64	0.56
65	0.53
66	0.50
67	0.46
68	0.42
69	0.41
70	0.41
71	0.40
72	0.37
73	0.36
74	0.36
75	0.35
76	0.35
77	0.34
78	0.34
79	0.34
80	0.33
81	0.33
82	0.31
83	0.31
84	0.30
85	0.30
86	0.29
87	0.28
88	0.28
89	0.28
90	0.27
91	0.27
92	0.27
93	0.27
94	0.26
95	0.26
96	0.25
97	0.25
98	0.24
99	0.23
100	0.22
101	0.21
102	0.20
103	0.19
104	0.18
105	0.17
106	0.17
107	0.17
108	0.17
109	0.16
110	0.15
111	0.14
112	0.13
113	0.11
114	0.08
115	0.06
116	0.05
117	0.05
118	0.04
119	0.04
120	0.04
121	0.04
122	0.04
123	0.03
124	0.03
125	0.03
126	0.02
127	0.02
128	0.02
129	0.02
130	0.02
131	0.02
132	0.02
133	0.02
134	0.02
135	0.01
136	0.01
137	0.01
138	0.01
139	0.01
140	0.01
141	0.01
142	0.01
143	0.01
144	0.01
145	0.00
146	0.00
147	0.00
148	0.00
149	0.00
200	0.00
220	0.00
240	0.00
260	0.00
280	0.00
300	0.00
320	0.00
330	0.00
