Age	CO2	proxy
0.0	266	boron
0.0	318	phytoplankton
0.0	305	phytoplankton
0.0	322	phytoplankton
0.0	308	phytoplankton
0.1	312	phytoplankton
0.1	338	phytoplankton
0.1	334	phytoplankton
0.1	332	phytoplankton
0.1	336	phytoplankton
0.1	336	phytoplankton
0.1	315	phytoplankton
0.2	316	phytoplankton
0.2	330	phytoplankton
0.2	289	phytoplankton
0.3	246	phytoplankton
0.3	319	phytoplankton
0.4	285	phytoplankton
0.5	293	boron
0.5	255	phytoplankton
0.6	302	phytoplankton
0.9	278	boron
0.9	243	phytoplankton
0.9	291	phytoplankton
1	252	phytoplankton
1	430	phytoplankton
1.0	301	phytoplankton
1.2	322	phytoplankton
1.2	266	phytoplankton
1.2	311	phytoplankton
1.2	317	phytoplankton
1.2	322	phytoplankton
1.3	291	phytoplankton
1.3	309	phytoplankton
1.3	298	phytoplankton
1.3	271	phytoplankton
1.4	326	phytoplankton
1.5	279	boron
1.5	277	phytoplankton
1.6	298	phytoplankton
1.7	312	phytoplankton
1.8	270	phytoplankton
2.0	309	phytoplankton
2.0	219	boron
2.0	262	boron
2.1	246	boron
2.1	329	phytoplankton
2.1	358	stomatas
2.1	274	boron
2.1	254	phytoplankton
2.2	221	boron
2.2	383	boron
2.2	331	phytoplankton
2.2	386	boron
2.3	337	phytoplankton
2.3	238	boron
2.3	273	phytoplankton
2.4	344	phytoplankton
2.5	367	boron
2.6	310	boron
2.6	333	phytoplankton
2.6	258	boron
2.6	267	phytoplankton
2.6	203	boron
2.6	305	phytoplankton
2.7	194	boron
2.7	358	boron
2.7	314	boron
2.7	238	boron
2.7	334	boron
2.7	317	phytoplankton
2.8	300	boron
2.8	404	boron
2.8	276	stomatas
2.8	418	boron
2.8	316	boron
2.8	283	boron
2.8	299	phytoplankton
2.8	314	boron
2.8	282	phytoplankton
2.8	303	phytoplankton
2.9	294	phytoplankton
2.9	288	phytoplankton
2.9	399	boron
2.9	323	phytoplankton
2.9	270	phytoplankton
2.9	278	phytoplankton
2.9	241	boron
2.9	270	phytoplankton
2.9	333	phytoplankton
2.9	307	phytoplankton
2.9	307	phytoplankton
3.0	258	phytoplankton
3.0	402	boron
3.0	372	phytoplankton
3.0	354	boron
3.0	255	phytoplankton
3.0	265	phytoplankton
3.0	262	phytoplankton
3.0	428	boron
3.1	353	phytoplankton
3.1	284	phytoplankton
3.1	265	boron
3.1	411	boron
3.1	338	phytoplankton
3.1	254	phytoplankton
3.1	351	stomatas
3.1	275	phytoplankton
3.1	249	boron
3.1	271	phytoplankton
3.1	344	phytoplankton
3.1	272	phytoplankton
3.1	318	phytoplankton
3.2	233	boron
3.2	278	phytoplankton
3.2	336	boron
3.2	335	phytoplankton
3.2	259	phytoplankton
3.2	274	phytoplankton
3.2	272	phytoplankton
3.2	267	phytoplankton
3.2	242	boron
3.2	265	phytoplankton
3.2	341	phytoplankton
3.2	330	boron
3.2	273	phytoplankton
3.3	252	boron
3.3	270	phytoplankton
3.3	262	phytoplankton
3.3	258	phytoplankton
3.3	276	phytoplankton
3.3	336	phytoplankton
3.3	274	boron
3.4	321	phytoplankton
3.4	358	stomatas
3.4	255	boron
3.4	251	boron
3.5	339	phytoplankton
3.5	292	boron
3.5	366	boron
3.5	393	phytoplankton
3.5	346	phytoplankton
3.5	329	boron
3.6	282	boron
3.6	362	phytoplankton
3.7	346	phytoplankton
3.7	310	boron
3.8	288	boron
3.8	357	phytoplankton
3.8	327	phytoplankton
3.9	408	boron
3.9	355	stomatas
3.9	338	phytoplankton
4.0	80	paleosoils
4.0	295	boron
4.0	334	phytoplankton
4	363	stomatas
4.0	329	phytoplankton
4.0	334	boron
4.1	348	phytoplankton
4.1	354	phytoplankton
4.1	394	boron
4.3	381	phytoplankton
4.4	351	phytoplankton
4.4	379	phytoplankton
4.6	370	phytoplankton
4.6	425	boron
4.6	270	stomatas
4.8	361	phytoplankton
4.8	351	phytoplankton
4.9	383	phytoplankton
4.9	422	phytoplankton
5	324	paleosoils
5.0	448	phytoplankton
5.1	358	stomatas
5.2	457	phytoplankton
5.5	282	paleosoils
7	148	paleosoils
7.1	468	paleosoils
7.2	379	phytoplankton
7.2	270	stomatas
7.7	292	paleosoils
8.4	133	paleosoils
8.5	360	stomatas
8.5	350	stomatas
9	204	paleosoils
10.5	370	stomatas
10.6	448	paleosoils
11	510	phytoplankton
11.6	332	stomatas
11.8	247	boron
12.0	468	stomatas
12.3	190	boron
12.7	223	boron
12.8	433	paleosoils
12.8	283	phytoplankton
13	296	paleosoils
13	176	paleosoils
13.1	519	paleosoils
13.3	244	boron
13.5	243	boron
13.6	232	boron
13.6	271	phytoplankton
13.6	303	phytoplankton
13.7	306	phytoplankton
13.7	305	phytoplankton
13.7	308	phytoplankton
13.7	289	phytoplankton
13.7	261	phytoplankton
13.7	294	phytoplankton
13.7	250	boron
13.7	133	paleosoils
13.7	271	phytoplankton
13.7	301	phytoplankton
13.7	292	phytoplankton
13.7	240	boron
13.7	255	boron
13.7	230	boron
13.7	305	phytoplankton
13.8	305	phytoplankton
13.8	292	phytoplankton
13.8	310	paleosoils
13.8	340	phytoplankton
13.8	301	boron
13.8	313	phytoplankton
13.8	313	phytoplankton
13.8	283	boron
13.8	294	phytoplankton
13.8	315	phytoplankton
13.8	311	boron
13.8	329	phytoplankton
13.8	257	boron
13.9	287	stomatas
13.9	293	stomatas
14.1	341	phytoplankton
14.2	268	boron
14.3	272	boron
14.4	203	paleosoils
14.7	116	paleosoils
14.7	430	phytoplankton
14.8	374	boron
14.9	346	boron
15.0	332	boron
15.1	291	paleosoils
15.2	338	stomatas
15.3	338	stomatas
15.3	314	stomatas
15.6	298	boron
15.6	852	paleosoils
15.7	555	stomatas
15.7	552	stomatas
15.7	449	stomatas
15.8	564	stomatas
15.8	402	phytoplankton
15.9	392	boron
16.0	579	paleosoils
16.1	487	paleosoils
16.4	225	boron
16.5	393	stomatas
16.5	535	stomatas
16.8	425	stomatas
16.8	401	phytoplankton
17.0	393	stomatas
17.4	402	stomatas
17.6	341	stomatas
17.6	374	stomatas
17.6	388	stomatas
18.3	412	phytoplankton
19	397	stomatas
19	459	stomatas
20	332	stomatas
20	460	phytoplankton
20.3	358	phytoplankton
21	312	paleosoils
22.1	333	stomatas
22.9	462	phytoplankton
23.5	410	phytoplankton
24	434	stomatas
25	453	stomatas
25.3	416	phytoplankton
25.6	588	stomatas
25.6	588	paleosoils
26.6	656	phytoplankton
27	395	stomatas
27.9	712	phytoplankton
28.8	730	phytoplankton
29.2	854	phytoplankton
29.6	972	phytoplankton
29.6	895	phytoplankton
30.6	765	phytoplankton
30.8	671	stomatas
31.3	725	phytoplankton
32.0	743	phytoplankton
32.6	756	phytoplankton
32.8	740	phytoplankton
32.9	723	phytoplankton
33.0	727	phytoplankton
33.0	626	boron
33.2	789	boron
33.3	1108	boron
33.5	767	phytoplankton
33.5	1161	boron
33.6	671	phytoplankton
33.6	764	boron
33.7	930	phytoplankton
34.0	960	boron
34.2	1075	boron
34.4	1048	boron
34.5	672	stomatas
34.6	877	boron
34.7	1038	phytoplankton
35.3	879	phytoplankton
35.5	746	stomatas
35.6	919	phytoplankton
35.9	450	stomatas
35.9	947	phytoplankton
36.1	1132	phytoplankton
36.5	2622	phytoplankton
36.8	1247	phytoplankton
37.1	939	phytoplankton
37.4	1042	phytoplankton
38.3	898	phytoplankton
38.4	713	stomatas
38.6	798	phytoplankton
38.6	863	phytoplankton
40	670	phytoplankton
44.5	768	stomatas
44.5	965	stomatas
45	780	paleosoils
46.4	908	stomatas
47.4	943	stomatas
49.9	659	stomatas
50.5	684	paleosoils
50.6	600	stomatas
50.6	600	stomatas
50.6	600	stomatas
50.7	397	paleosoils
50.9	178	paleosoils
51.1	1285	paleosoils
51.1	725	paleosoils
51.2	1354	paleosoils
51.4	971	paleosoils
51.5	1709	paleosoils
51.5	1299	paleosoils
51.8	903	paleosoils
51.8	1210	paleosoils
51.9	1868	liverworts
51.9	1260	paleosoils
52.0	301	paleosoils
52.6	750	paleosoils
52.8	400	paleosoils
53.5	80	paleosoils
54.2	814	paleosoils
54.2	443	stomatas
54.3	327	stomatas
54.3	515	stomatas
54.7	378	stomatas
54.9	231	paleosoils
55.5	500	phytoplankton
55.5	328	paleosoils
55.5	100	paleosoils
55.6	479	stomatas
55.9	667	stomatas
56	600	phytoplankton
56.1	307	stomatas
56.1	307	stomatas
56.1	307	stomatas
56.1	520	stomatas
56.2	304	stomatas
56.2	461	paleosoils
56.4	313	stomatas
56.5	316	stomatas
56.5	487	paleosoils
56.5	428	paleosoils
56.5	100	paleosoils
56.6	320	stomatas
56.7	579	paleosoils
56.7	315	stomatas
56.7	318	stomatas
56.7	318	stomatas
57.2	469	stomatas
57.3	816	paleosoils
57.7	474	paleosoils
58.1	447	stomatas
58.8	583	liverworts
59.9	535	stomatas
59.9	574	stomatas
60.7	0	paleosoils
61.1	317	stomatas
63.6	399	paleosoils
63.7	341	paleosoils
63.8	367	stomatas
64.1	330	stomatas
64.6	326	paleosoils
64.7	456	paleosoils
64.8	400	paleosoils
64.9	286	paleosoils
65	584	paleosoils
65.1	451	paleosoils
65.2	178	paleosoils
65.2	569	paleosoils
65.2	163	paleosoils
65.3	340	paleosoils
65.4	88	paleosoils
65.4	343	stomatas
65.4	470	stomatas
65.4	470	paleosoils
65.6	111	paleosoils
65.8	178	paleosoils
65.9	300	paleosoils
65.9	54	paleosoils
66.1	183	paleosoils
66.2	277	paleosoils
66.4	90	paleosoils
66.5	539	stomatas
66.5	0	paleosoils
66.5	42	paleosoils
66.5	837	paleosoils
66.6	15	paleosoils
66.6	263	paleosoils
66.7	453	paleosoils
66.9	426	paleosoils
66.9	265	paleosoils
67.0	219	paleosoils
67.0	128	paleosoils
67.2	560	paleosoils
67.2	300	paleosoils
68.3	277	paleosoils
