"","lambda0","lambda1","lambda2","lambda3","lambda4","lambda5","lambda6","lambda7","lambda8","lambda9","lambda10","lambda11","mu0","mu1","mu2","mu3","mu4","mu5","mu6","mu7","mu8","mu9","mu10","mu11"
"0%",0.249208738013176,0.208472937823752,0.168975391882418,0.148900134140424,0.165109270277813,0.342389765906298,0.0101876719397113,0.138335114591322,0.133879526296141,0.150002363339499,0.155456739966229,1.82816015625729e-14,0.0700973672685677,0.0352302214902874,0,0.0906726975048581,0,6.84842669507314e-18,0.227004668318036,0.0259743650534494,0.0174876622122153,0.0926206669285023,3.43322706927018e-13,0.10553257247056
"10%",0.249316574846535,0.213289955623913,0.174927536389475,0.172811219412403,0.188849838721233,0.350535222051193,0.0256081072664374,0.166239701713404,0.172269681864697,0.181073003531261,0.167383556156752,7.6085723104658e-12,0.0721912941159443,0.0419721950762022,0.00645945163028167,0.131296419832818,4.44909049994103e-18,2.96526896903304e-11,0.2452224905439,0.0710671523820842,0.0372654178161652,0.134874020573319,4.08235200121033e-11,0.117019442430366
"20%",0.249402375742272,0.214897965879617,0.181204935296734,0.183359856929222,0.204565671037566,0.374039387992432,0.0338490964823624,0.20145378193477,0.190638156926765,0.19219277104696,0.177143088755564,1.00063078731863e-10,0.0727800121323117,0.0437601484062728,0.0166289629624194,0.143567074785404,0.00460794670770392,0.0706356847591557,0.331367006200899,0.0876424888567151,0.0555827023459725,0.139177424244226,4.34325161930333e-10,0.242501407808801
"30%",0.249456171702008,0.222538267104685,0.192833227735896,0.192988336872398,0.208232076709052,0.390537766301815,0.0380436092538109,0.253979965374209,0.206432765398805,0.196394904641422,0.187248664991077,6.59569747792481e-10,0.0753368374230906,0.0547140769183053,0.0289476766525218,0.153087284542205,0.00793445350485981,0.0767027063573036,0.430368431988303,0.109392720292848,0.068674614391182,0.147658878851568,1.02952908355959e-09,0.328836936443698
"40%",0.249501524336389,0.231626738095533,0.208369823479445,0.212340773134802,0.211352928070933,0.399289660274577,0.0431657863762117,0.263501320983497,0.21509017613161,0.202139373846342,0.190975416045453,0.0841500206243154,0.0779443351085465,0.0676136899386565,0.0466586191403962,0.170574564480804,0.00976814012170582,0.0857736332366165,0.440829803677885,0.133818005357129,0.0790608998555334,0.159494830362372,3.80760181158357e-09,0.346125798951996
"50%",0.24953114447543,0.237203843821902,0.221555249013596,0.225888938808009,0.21375961485776,0.404303196058331,0.0468345078014055,0.287480717166435,0.221401765560843,0.20755763582041,0.197321873818807,0.210009736930423,0.0800122792817616,0.0737159374330381,0.0624142303442034,0.176049739045104,0.0113094330578844,0.0897351854183393,0.455308680589881,0.140650508087785,0.0860802063462661,0.169237289614486,0.00408679116603108,0.361778982760678
"60%",0.249544989431313,0.239378324605979,0.224706220182061,0.231598132875942,0.216145592493426,0.412633565520826,0.0499734559620052,0.314426671319167,0.22575709139861,0.209265477393744,0.203542952522244,0.231113660304471,0.080890379292755,0.0781768618781535,0.0667874013035385,0.183368587834305,0.0149789014992862,0.0983099331566894,0.463743032207502,0.150473481855091,0.10281108503638,0.180695015085201,0.0249393346153589,0.799810957862498
"70%",0.249563740537954,0.24024315926881,0.227817678942166,0.233314711976553,0.21815847206441,0.417674884381885,0.0522552433864539,0.321685884986264,0.229492294372913,0.2138866899047,0.209723845160663,0.347118980988824,0.0815387861437343,0.0791856055902533,0.0706625583183433,0.186071388520764,0.0175305144715323,0.10597341197827,0.475642617345171,0.156393332057369,0.113835143079139,0.1925132913372,0.0502288679305814,1.26658794723035
"80%",0.249643244337207,0.24273623562874,0.230273905984024,0.236744005338027,0.220513010456838,0.430801327737225,0.0545239536091471,0.367757231022819,0.237021668747973,0.226110676106503,0.217448210263521,0.425733880989571,0.082147563071424,0.082614890609342,0.0727097156485564,0.190687530234163,0.0198104487396818,0.117260198539302,0.480503519948355,0.201433356840552,0.116944402463375,0.202716981395574,0.100546933381172,1.40303189069986
"90%",0.249678028549803,0.244435346298846,0.2322227652353,0.240899332802731,0.222833684133027,0.445547262122403,0.0571058534070538,0.419028720116648,0.257525255459235,0.248038451310076,0.234622181693021,0.442253800652861,0.0828934450457438,0.0845245290127673,0.0746697367689094,0.195285553395781,0.0260538944604224,0.138085565044916,0.488377814125917,0.245591190480182,0.12323202596908,0.220233337755722,0.137077255627717,1.42291464724125
"100%",0.249971942221747,0.251416852305557,0.241721244529885,0.248190221596114,0.226501140605498,0.550938773103997,0.0612739431605014,0.54364696137995,0.495971287924399,0.397088189148077,0.309863400604859,0.572937406414393,0.0857870338811774,0.0931443677540609,0.0848371290921428,0.20308563703504,0.0447903522768094,0.251370142178829,0.510189087769978,0.40345171731818,0.346607603963921,0.378727824805637,0.144765997946882,1.52878028922935
