# Extinction rates of marine invertebrate genera, based on fossil record
# Digitized from: Alroy et al. (2008). Dynamics of origination and extinction in the marine fossil record. PNAS. 105:11536-11542. Fig. 1B
#
# age_Myr	lambda
0	0.088623784
35.523067	0.14649227
46.641964	0.10535709
58.47186	0.39354625
66.48975	0.7966833
76.12324	0.15764107
86.47106	0.3498616
95.68062	0.11682962
104.91354	0.36655444
116.59991	0.2870763
128.77028	0.24917851
139.0914	0.4669745
146.07784	0.34255722
157.06656	0.42610234
167.37766	0.14835379
176.63396	0.3757001
184.74197	0.18738467
194.10841	0.30923226
206.08519	0.9618918
220.37852	0.40615186
234.24127	0.26281604
247.05254	0.6213782
253.5483	1.4720451
263.1217	0.38541228
277.1814	0.053457543
290.223	0.19143142
300.81448	0.15027599
312.2171	0.342537
325.92963	0.34306306
340.9006	0.65375215
353.87543	0.3505293
366.56653	0.82418096
378.03592	0.447368
386.2274	0.6842646
398.578	0.47373256
412.38068	0.3879415
422.10095	0.6760497
433.9542	0.43672505
444.50565	0.93906814
454.1625	0.27764738
461.2524	0.5592606
471.6503	0.70352715
482.7425	1.1931027
491.51144	2.3923364
504.54303	1.5296303

