# Speciation rates estimated by Steeman et al. for Cetaceans, assuming zero extinction rate
# Digitized from: Steeman et al. (2009). Radiation of extant Cetaceans driven by restructuring of the oceans. Systematic Biology. 58:573-585. Fig. 4B.
#
# age_Myr	lambda_1/Myr
0	0.07929677
1.1453063	0.07687749
2.1450152	0.08832608
2.3916025	0.09629649
2.638869	0.103227936
3.39267	0.105667144
3.576535	0.11328999
4.4498935	0.12542874
4.705991	0.118853584
4.891894	0.12335952
5.209355	0.11920987
6.0689006	0.15247433
6.3886266	0.14486144
6.6374784	0.14936863
7.1424274	0.14730066
7.5919	0.13380279
8.093452	0.13692965
8.222294	0.13242994
8.290677	0.12411944
8.476807	0.12827905
9.566184	0.098862775
10.250469	0.11134411
10.7604	0.101657026
11.320373	0.11171161
11.33645	0.08712267
12.023	0.09614077
12.034774	0.078131974
12.662904	0.08022237
13.4081	0.09582186
14.43181	0.0705602
14.501327	0.060518082
15.129683	0.062262155
15.165459	0.103822164
15.791778	0.10868315
16.242609	0.09310733
16.236269	0.10280438
17.173254	0.1139054
17.242771	0.10386328
17.556835	0.104908474
17.625217	0.09659797
18.126772	0.099724844
18.133791	0.088988826
18.634438	0.093500994
18.644175	0.0786091
19.334574	0.081739716
19.332989	0.08416397
20.898104	0.097355396
21.118425	0.049220227
21.318819	0.03156149
21.696287	0.03191529
21.747686	0.04957901
22.24992	0.05166691
22.325096	0.032966714
23.017305	0.03332674
23.056479	0.069691904
24.87407	0.08184934
24.98457	0.1054018
25.312447	0.08532129
27.689785	0.10787963
27.769943	0.08156032
28.647377	0.08746526
29.167498	0.06219364
29.522999	0.09614077
30.210682	0.10342726
30.26412	0.11797407
31.072266	0.1335748
31.09287	0.10205941
32.08805	0.12043446
