# Origination rates of marine invertebrate genera, based on fossil record
# Digitized from: Alroy et al. (2008). Dynamics of origination and extinction in the marine fossil record. PNAS. 105:11536-11542. Fig. 1A
#
# age_Myr	lambda
0	0.24892762
29.38218	0.2810586
36.78837	0.21721478
48.380566	0.2493323
60.8429	0.81215096
69.49532	0.19845146
75.78212	0.3200151
88.43362	0.33935845
96.879074	0.3202849
107.40975	0.3715704
118.64588	0.41647106
131.3189	0.37400743
141.07808	0.6213613
148.22908	0.28044713
158.03279	0.39992446
166.37662	0.67283565
186.09158	0.09764076
194.83525	0.73713815
208.69849	0.30573016
237.00357	0.81120676
247.56429	0.77617556
255.05281	0.4757601
264.57983	0.3799741
277.19238	0.5112094
290.93097	0.43785578
303.67038	0.20464294
313.0839	0.43494213
326.85922	0.2560903
344.2286	0.35861412
354.63354	0.7711509
369.9611	0.67863595
379.06082	0.29512098
389.5837	0.3687849
412.68353	0.6759854
422.7302	0.6025845
435.839	0.8233402
447.04065	0.46223056
454.91415	0.5710268
462.3148	0.5231675
482.93994	1.8789287
494.97614	2.1508214
